Case Name;Cores;Mesh Quality;Phyngs Type;Phyngs Amount;Setup Time, ms;Solving Time, ms;Error
m70c10pha17;10;70;acs;17;4488;24338;
m70c10phw9;10;70;windows;9;2545;12186;
m70c10phd9;10;70;doors;9;2546;12170;
m70c12phh50;12;70;heaters;50;6297;48892;
m70c12pha17;12;70;acs;17;4541;23264;
m70c12phw9;12;70;windows;9;2543;11670;
m70c12phd9;12;70;doors;9;2498;11713;
m70c1phh50;1;70;heaters;50;6231;117038;
m70c1pha17;1;70;acs;17;4459;85920;
m70c1phw9;1;70;windows;9;2542;33485;
m70c1phd9;1;70;doors;9;2589;33728;
m70c2phh50;2;70;heaters;50;6400;73105;
m70c2pha17;2;70;acs;17;4570;50399;
m70c2phw9;2;70;windows;9;2498;21238;
m70c2phd9;2;70;doors;9;2512;21132;
m70c4phh50;4;70;heaters;50;6366;62517;
m70c4pha17;4;70;acs;17;4452;41705;
m70c4phw9;4;70;windows;9;2623;17847;
m70c4phd9;4;70;doors;9;2535;17765;
m70c6phh50;6;70;heaters;50;6486;51792;
m70c6pha17;6;70;acs;17;4571;32107;
m70c6phw9;6;70;windows;9;2583;14527;
m70c6phd9;6;70;doors;9;2561;14399;
m70c8phh50;8;70;heaters;50;6370;51214;
m70c8pha17;8;70;acs;17;4509;27048;
m70c8phw9;8;70;windows;9;2578;13147;
m70c8phd9;8;70;doors;9;2499;12894;
m70c10phh50;10;70;heaters;50;6343;50974;
m70c10pha17;10;70;acs;17;4594;24371;
m70c10phw9;10;70;windows;9;2540;12255;
m70c10phd9;10;70;doors;9;2555;12267;
