Case Name;Cores;Mesh Quality;Phyngs Type;Phyngs Amount;Setup Time, ms;Solving Time, ms;Error
m13c12phw9;12;13;windows;9;677;17987;
m21c12phw1;12;21;windows;1;510;5670;
m21c12phw9;12;21;windows;9;716;20944;
m29c12phw1;12;29;windows;1;548;6492;
m29c12phw9;12;29;windows;9;812;27487;
m37c12phw1;12;37;windows;1;562;7711;
m37c12phw9;12;37;windows;9;850;25763;
m45c12phw1;12;45;windows;1;670;8235;
m45c12phw9;12;45;windows;9;1063;30955;
m53c12phw1;12;53;windows;1;824;12500;
m53c12phw9;12;53;windows;9;1235;37810;
m61c12phw1;12;61;windows;1;963;16297;
m61c12phw9;12;61;windows;9;1631;65146;
m69c12phw1;12;69;windows;1;1517;33024;
m69c12phw9;12;69;windows;9;2554;98439;
m77c12phw1;12;77;windows;1;2480;72638;
m77c12phw9;12;77;windows;9;3313;131855;
m13c12phw1;12;13;windows;1;485;4979;
m13c12phw9;12;13;windows;9;646;17777;
m21c12phw1;12;21;windows;1;529;5918;
m21c12phw9;12;21;windows;9;700;21453;
m29c12phw1;12;29;windows;1;547;6602;
m29c12phw9;12;29;windows;9;817;28216;
m37c12phw1;12;37;windows;1;592;7025;
m37c12phw9;12;37;windows;9;856;25661;
m45c12phw1;12;45;windows;1;658;8211;
m45c12phw9;12;45;windows;9;1092;31322;
m53c12phw1;12;53;windows;1;798;12696;
m53c12phw9;12;53;windows;9;1235;37234;
m61c12phw1;12;61;windows;1;959;16753;
m61c12phw9;12;61;windows;9;1637;64158;
m69c12phw1;12;69;windows;1;1581;32989;
m69c12phw9;12;69;windows;9;2488;97447;
m77c12phw1;12;77;windows;1;2439;72766;
m77c12phw9;12;77;windows;9;3293;131272;
m13c12phw1;12;13;windows;1;443;4183;
m13c12phw9;12;13;windows;9;671;17891;
m21c12phw1;12;21;windows;1;555;5617;
m21c12phw9;12;21;windows;9;730;20759;
m29c12phw1;12;29;windows;1;538;6386;
m29c12phw9;12;29;windows;9;793;28229;
m37c12phw1;12;37;windows;1;601;7052;
m37c12phw9;12;37;windows;9;899;26084;
m45c12phw1;12;45;windows;1;689;8075;
m45c12phw9;12;45;windows;9;1099;31731;
m53c12phw1;12;53;windows;1;790;12892;
m53c12phw9;12;53;windows;9;1223;38350;
m61c12phw1;12;61;windows;1;986;15960;
m61c12phw9;12;61;windows;9;1628;62465;
m69c12phw1;12;69;windows;1;1531;32711;
m69c12phw9;12;69;windows;9;2532;98978;
m77c12phw1;12;77;windows;1;2467;73823;
m77c12phw9;12;77;windows;9;3320;131469;
m13c12phw1;12;13;windows;1;492;5054;
m13c12phw9;12;13;windows;9;648;17517;
m21c12phw1;12;21;windows;1;520;5836;
m21c12phw9;12;21;windows;9;768;20413;
m29c12phw1;12;29;windows;1;520;5840;
m29c12phw9;12;29;windows;9;850;27455;
m37c12phw1;12;37;windows;1;586;7210;
m37c12phw9;12;37;windows;9;800;26264;
m45c12phw1;12;45;windows;1;717;7748;
m45c12phw9;12;45;windows;9;1062;31576;
m53c12phw1;12;53;windows;1;815;12771;
m53c12phw9;12;53;windows;9;1231;36818;
m61c12phw1;12;61;windows;1;969;16247;
m61c12phw9;12;61;windows;9;1641;63541;
m69c12phw1;12;69;windows;1;1575;32702;
m69c12phw9;12;69;windows;9;2552;97015;
m77c12phw1;12;77;windows;1;2408;73880;
m77c12phw9;12;77;windows;9;3229;131836;
m13c12pha1;12;13;acs;1;505;33414;
m13c12pha9;12;13;acs;9;960;43323;
m21c12pha1;12;21;acs;1;576;35108;
m21c12pha9;12;21;acs;9;989;47231;
m29c12pha1;12;29;acs;1;606;36269;
m29c12pha9;12;29;acs;9;1240;51917;
m37c12pha1;12;37;acs;1;676;43081;
m37c12pha9;12;37;acs;9;1347;61467;
m45c12pha1;12;45;acs;1;779;56750;
m45c12pha9;12;45;acs;9;1623;99498;
m45c12pha1;12;45;acs;1;785;57140;
m45c12pha9;12;45;acs;9;1638;100768;
m13c12pha1;12;13;acs;1;556;33566;
m13c12pha9;12;13;acs;9;1024;42064;
m21c12pha1;12;21;acs;1;561;35916;
m21c12pha9;12;21;acs;9;1081;45832;
m29c12pha1;12;29;acs;1;589;36807;
m29c12pha9;12;29;acs;9;1285;52815;
m37c12pha1;12;37;acs;1;639;42158;
m37c12pha9;12;37;acs;9;1364;61656;
m45c12pha1;12;45;acs;1;745;58468;
m45c12pha9;12;45;acs;9;1566;100223;
m13c12pha1;12;13;acs;1;556;33845;
m13c12pha9;12;13;acs;9;971;42554;
m21c12pha1;12;21;acs;1;573;35538;
m21c12pha9;12;21;acs;9;1123;45828;
m29c12pha1;12;29;acs;1;605;37557;
m29c12pha9;12;29;acs;9;1288;51501;
m37c12pha1;12;37;acs;1;648;43570;
m37c12pha9;12;37;acs;9;1317;61734;
m45c12pha1;12;45;acs;1;769;57399;
m45c12pha9;12;45;acs;9;1650;100682;
m13c12pha1;12;13;acs;1;536;34497;
m13c12pha9;12;13;acs;9;1036;42094;
m21c12pha1;12;21;acs;1;570;35432;
m21c12pha9;12;21;acs;9;1026;46005;
m29c12pha1;12;29;acs;1;620;35440;
m29c12pha9;12;29;acs;9;1287;53052;
m37c12pha1;12;37;acs;1;664;42686;
m37c12pha9;12;37;acs;9;1382;62237;
m45c12pha1;12;45;acs;1;744;57377;
m45c12pha9;12;45;acs;9;1683;100098;
m51c12phh1;12;51;heaters;1;693;4737;
m51c12phh5;12;51;heaters;5;832;7940;
m51c12phh10;12;51;heaters;10;1055;11245;
m51c12phh15;12;51;heaters;15;1272;13694;
m51c12phh20;12;51;heaters;20;1523;16161;
m51c12phh25;12;51;heaters;25;1752;18451;
m51c12phh30;12;51;heaters;30;2095;21661;
m51c12phh35;12;51;heaters;35;2332;25030;
m51c12phh40;12;51;heaters;40;2605;25734;
m51c12phh45;12;51;heaters;45;2928;30376;
m51c12phh50;12;51;heaters;50;3206;32240;
m59c12phh1;12;59;heaters;1;894;5936;
m59c12phh5;12;59;heaters;5;1132;10982;
m59c12phh10;12;59;heaters;10;1335;14171;
m59c12phh15;12;59;heaters;15;1664;17914;
m59c12phh20;12;59;heaters;20;1917;22454;
m59c12phh25;12;59;heaters;25;2295;25483;
m59c12phh30;12;59;heaters;30;2565;28724;
m59c12phh35;12;59;heaters;35;2866;32889;
m59c12phh40;12;59;heaters;40;3460;37119;
m59c12phh45;12;59;heaters;45;3814;39126;
m59c12phh50;12;59;heaters;50;4099;41093;
m67c12phh1;12;67;heaters;1;1352;8731;
m67c12phh5;12;67;heaters;5;1649;14452;
m67c12phh10;12;67;heaters;10;2030;18690;
m67c12phh15;12;67;heaters;15;2394;22475;
m67c12phh20;12;67;heaters;20;2857;26987;
m67c12phh25;12;67;heaters;25;3278;28964;
m67c12phh30;12;67;heaters;30;3698;33324;
m67c12phh35;12;67;heaters;35;4150;37463;
m67c12phh40;12;67;heaters;40;4678;41270;
m67c12phh45;12;67;heaters;45;5217;46174;
m67c12phh50;12;67;heaters;50;5847;47418;
m75c12phh1;12;75;heaters;1;1863;12613;
m75c12phh5;12;75;heaters;5;2244;19777;
m75c12phh10;12;75;heaters;10;2681;26554;
m75c12phh15;12;75;heaters;15;3123;29889;
m75c12phh20;12;75;heaters;20;3600;33406;
m75c12phh25;12;75;heaters;25;4208;38327;
m75c12phh30;12;75;heaters;30;4695;41958;
m75c12phh35;12;75;heaters;35;5491;47426;
m75c12phh40;12;75;heaters;40;5968;53788;
m75c12phh45;12;75;heaters;45;6665;57003;
m75c12phh50;12;75;heaters;50;7361;59783;
m51c12phh1;12;51;heaters;1;718;5069;
m51c12phh5;12;51;heaters;5;834;7932;
m51c12phh10;12;51;heaters;10;1090;11614;
m51c12phh15;12;51;heaters;15;1294;15190;
m51c12phh20;12;51;heaters;20;1538;16400;
m51c12phh25;12;51;heaters;25;1807;19507;
m51c12phh30;12;51;heaters;30;1982;21813;
m51c12phh35;12;51;heaters;35;2343;23746;
m51c12phh40;12;51;heaters;40;2611;25813;
m51c12phh45;12;51;heaters;45;2884;29319;
m51c12phh50;12;51;heaters;50;3249;31925;
m59c12phh1;12;59;heaters;1;858;5983;
m59c12phh5;12;59;heaters;5;1082;10321;
m59c12phh10;12;59;heaters;10;1332;14874;
m59c12phh15;12;59;heaters;15;1636;17515;
m59c12phh20;12;59;heaters;20;2015;22266;
m59c12phh25;12;59;heaters;25;2248;25519;
m59c12phh30;12;59;heaters;30;2582;30272;
m59c12phh35;12;59;heaters;35;3037;33447;
m59c12phh40;12;59;heaters;40;3336;36626;
m59c12phh45;12;59;heaters;45;3808;39041;
m59c12phh50;12;59;heaters;50;4151;42908;
m67c12phh1;12;67;heaters;1;1374;9066;
m67c12phh5;12;67;heaters;5;1646;14330;
m67c12phh10;12;67;heaters;10;2044;18000;
m67c12phh15;12;67;heaters;15;2385;21849;
m67c12phh20;12;67;heaters;20;2810;26478;
m67c12phh25;12;67;heaters;25;3113;30467;
m67c12phh30;12;67;heaters;30;3665;33465;
m67c12phh35;12;67;heaters;35;4267;39826;
m67c12phh40;12;67;heaters;40;4610;43131;
m67c12phh45;12;67;heaters;45;5216;47079;
m67c12phh50;12;67;heaters;50;5869;48043;
m75c12phh1;12;75;heaters;1;1857;12700;
m75c12phh5;12;75;heaters;5;2269;19316;
m75c12phh10;12;75;heaters;10;2658;25055;
m75c12phh15;12;75;heaters;15;3186;29423;
m75c12phh20;12;75;heaters;20;3633;32700;
m75c12phh25;12;75;heaters;25;4176;37338;
m75c12phh30;12;75;heaters;30;4667;41564;
m75c12phh35;12;75;heaters;35;5363;47505;
m75c12phh40;12;75;heaters;40;6108;51668;
m75c12phh45;12;75;heaters;45;6690;57347;
m75c12phh50;12;75;heaters;50;7395;60545;
m51c12phh1;12;51;heaters;1;727;4627;
m51c12phh5;12;51;heaters;5;902;7701;
m51c12phh10;12;51;heaters;10;1079;11123;
m51c12phh15;12;51;heaters;15;1261;13886;
m51c12phh20;12;51;heaters;20;1568;15363;
m51c12phh25;12;51;heaters;25;1826;19115;
m51c12phh30;12;51;heaters;30;2012;22701;
m51c12phh35;12;51;heaters;35;2342;23758;
m51c12phh40;12;51;heaters;40;2635;27094;
m51c12phh45;12;51;heaters;45;2944;30726;
m51c12phh50;12;51;heaters;50;3235;33050;
m59c12phh1;12;59;heaters;1;833;6037;
m59c12phh5;12;59;heaters;5;1079;10406;
m59c12phh10;12;59;heaters;10;1359;14261;
m59c12phh15;12;59;heaters;15;1675;17688;
m59c12phh20;12;59;heaters;20;1979;22309;
m59c12phh25;12;59;heaters;25;2304;26137;
m59c12phh30;12;59;heaters;30;2575;29693;
m59c12phh35;12;59;heaters;35;3047;33267;
m59c12phh40;12;59;heaters;40;3449;36432;
m59c12phh45;12;59;heaters;45;3836;40102;
m59c12phh50;12;59;heaters;50;4160;41119;
m67c12phh1;12;67;heaters;1;1329;8892;
m67c12phh5;12;67;heaters;5;1639;14348;
m67c12phh10;12;67;heaters;10;2006;18653;
m67c12phh15;12;67;heaters;15;2408;22031;
m67c12phh20;12;67;heaters;20;2827;25785;
m67c12phh25;12;67;heaters;25;3173;29577;
m67c12phh30;12;67;heaters;30;3627;34281;
m67c12phh35;12;67;heaters;35;4115;38371;
m67c12phh40;12;67;heaters;40;4668;42776;
m67c12phh45;12;67;heaters;45;5295;44546;
m67c12phh50;12;67;heaters;50;5871;46757;
m75c12phh1;12;75;heaters;1;1882;12734;
m75c12phh5;12;75;heaters;5;2306;19215;
m75c12phh10;12;75;heaters;10;2754;24732;
m75c12phh15;12;75;heaters;15;3083;29535;
m75c12phh20;12;75;heaters;20;3669;32835;
m75c12phh25;12;75;heaters;25;4199;37914;
m75c12phh30;12;75;heaters;30;4719;42465;
m75c12phh35;12;75;heaters;35;5372;48093;
m75c12phh40;12;75;heaters;40;6102;53013;
m75c12phh45;12;75;heaters;45;6706;56256;
m75c12phh50;12;75;heaters;50;7317;60116;
m51c12phh1;12;51;heaters;1;766;5470;
m51c12phh5;12;51;heaters;5;852;7698;
m51c12phh10;12;51;heaters;10;1085;11022;
m51c12phh15;12;51;heaters;15;1254;12709;
m51c12phh20;12;51;heaters;20;1572;16407;
m51c12phh25;12;51;heaters;25;1789;19439;
m51c12phh30;12;51;heaters;30;2104;21795;
m51c12phh35;12;51;heaters;35;2385;24151;
m51c12phh40;12;51;heaters;40;2652;26409;
m51c12phh45;12;51;heaters;45;2922;31356;
m51c12phh50;12;51;heaters;50;3124;33237;
m59c12phh1;12;59;heaters;1;913;5988;
m59c12phh5;12;59;heaters;5;1130;10739;
m59c12phh10;12;59;heaters;10;1314;13938;
m59c12phh15;12;59;heaters;15;1725;17966;
m59c12phh20;12;59;heaters;20;1934;22282;
m59c12phh25;12;59;heaters;25;2326;25185;
m59c12phh30;12;59;heaters;30;2729;28971;
m59c12phh35;12;59;heaters;35;3058;34322;
m59c12phh40;12;59;heaters;40;3391;36279;
m59c12phh45;12;59;heaters;45;3772;39560;
m59c12phh50;12;59;heaters;50;4122;41593;
m67c12phh1;12;67;heaters;1;1368;8948;
m67c12phh5;12;67;heaters;5;1634;14685;
m67c12phh10;12;67;heaters;10;2063;18238;
m67c12phh15;12;67;heaters;15;2370;22215;
m67c12phh20;12;67;heaters;20;2821;26974;
m67c12phh25;12;67;heaters;25;3192;29866;
m67c12phh30;12;67;heaters;30;3797;33826;
m67c12phh35;12;67;heaters;35;4166;38784;
m67c12phh40;12;67;heaters;40;4739;42537;
m67c12phh45;12;67;heaters;45;5219;45664;
m67c12phh50;12;67;heaters;50;5698;47131;
m75c12phh1;12;75;heaters;1;1848;12805;
m75c12phh5;12;75;heaters;5;2307;19645;
m75c12phh10;12;75;heaters;10;2765;24560;
m75c12phh15;12;75;heaters;15;3278;29351;
m75c12phh20;12;75;heaters;20;3780;33517;
m75c12phh25;12;75;heaters;25;4274;37136;
