Case Name;Cores;Mesh Quality;Phyngs Type;Phyngs Amount;Setup Time, ms;Solving Time, ms;Error
m70c12phh43;12;70;heaters;43;5459;67908;
m70c12phh44;12;70;heaters;44;5614;69976;
m70c12phh45;12;70;heaters;45;5706;71749;
m70c12phh46;12;70;heaters;46;5818;68118;
m70c12phh47;12;70;heaters;47;6137;70672;
m70c12phh48;12;70;heaters;48;5818;71515;
m70c12phh49;12;70;heaters;49;6240;70344;
m70c12phh50;12;70;heaters;50;6481;72190;
m70c12pha1;12;70;acs;1;2174;10350;
m70c12pha2;12;70;acs;2;2046;11760;
m70c12pha3;12;70;acs;3;2284;13587;
m70c12pha4;12;70;acs;4;2424;14602;
m70c12pha5;12;70;acs;5;2692;15344;
m70c12pha6;12;70;acs;6;2656;15804;
m70c12pha7;12;70;acs;7;2892;17010;
m70c12pha8;12;70;acs;8;3071;17494;
m70c12pha9;12;70;acs;9;3156;17933;
m70c12pha10;12;70;acs;10;3435;18145;
m70c12pha11;12;70;acs;11;3474;18941;
m70c12pha12;12;70;acs;12;3725;20069;
m70c12pha13;12;70;acs;13;3959;21183;
m70c12pha14;12;70;acs;14;4017;22130;
m70c12pha15;12;70;acs;15;4166;22310;
m70c12pha16;12;70;acs;16;4289;23045;
m70c12pha17;12;70;acs;17;4764;23194;
m70c12phw1;12;70;windows;1;1774;9347;
m70c12phw2;12;70;windows;2;1858;9927;
m70c12phw3;12;70;windows;3;1943;10730;
m70c12phw4;12;70;windows;4;1966;10986;
m70c12phw5;12;70;windows;5;2121;11359;
m70c12phw6;12;70;windows;6;2121;11626;
m70c12phw7;12;70;windows;7;2345;11856;
m70c12phw8;12;70;windows;8;2477;12309;
m70c12phw9;12;70;windows;9;2713;11993;
m70c12phd1;12;70;doors;1;1927;9451;
m70c12phd2;12;70;doors;2;1854;9983;
m70c12phd3;12;70;doors;3;1958;10242;
m70c12phd4;12;70;doors;4;2003;10787;
m70c12phd5;12;70;doors;5;2093;11125;
m70c12phd6;12;70;doors;6;2346;11433;
m70c12phd7;12;70;doors;7;2461;11789;
m70c12phd8;12;70;doors;8;2609;12006;
m70c12phd9;12;70;doors;9;2521;11985;
m70c12phh1;12;70;heaters;1;1752;9385;
m70c12phh2;12;70;heaters;2;1633;12210;
m70c12phh3;12;70;heaters;3;1807;14043;
m70c12phh4;12;70;heaters;4;1985;15599;
m70c12phh5;12;70;heaters;5;2235;17089;
m70c12phh6;12;70;heaters;6;2327;17581;
m70c12phh7;12;70;heaters;7;2187;19335;
m70c12phh8;12;70;heaters;8;2301;19995;
m70c12phh9;12;70;heaters;9;2235;22878;
m70c12phh10;12;70;heaters;10;2457;23274;
m70c12phh11;12;70;heaters;11;2460;25035;
m70c12phh12;12;70;heaters;12;2653;26607;
m70c12phh13;12;70;heaters;13;2653;27306;
m70c12phh14;12;70;heaters;14;2644;29612;
m70c12phh15;12;70;heaters;15;2682;30415;
m70c12phh16;12;70;heaters;16;2857;31455;
m70c12phh17;12;70;heaters;17;2930;32456;
m70c12phh18;12;70;heaters;18;2938;34379;
m70c12phh19;12;70;heaters;19;2979;36090;
m70c12phh20;12;70;heaters;20;3232;36820;
m70c12phh21;12;70;heaters;21;3334;38887;
m70c12phh22;12;70;heaters;22;3507;39539;
m70c12phh23;12;70;heaters;23;3606;40142;
m70c12phh24;12;70;heaters;24;3520;42676;
m70c12phh25;12;70;heaters;25;3603;43795;
m70c12phh26;12;70;heaters;26;3917;45228;
m70c12phh27;12;70;heaters;27;4053;44928;
m70c12phh28;12;70;heaters;28;3938;48160;
m70c12phh29;12;70;heaters;29;4084;49275;
m70c12phh30;12;70;heaters;30;4273;51938;
m70c12phh31;12;70;heaters;31;4308;50513;
m70c12phh32;12;70;heaters;32;4406;53809;
m70c12phh33;12;70;heaters;33;4435;54924;
m70c12phh34;12;70;heaters;34;4706;55673;
m70c12phh35;12;70;heaters;35;4768;57280;
m70c12phh36;12;70;heaters;36;4771;58398;
m70c12phh37;12;70;heaters;37;4918;59835;
m70c12phh38;12;70;heaters;38;4978;61197;
m70c12phh39;12;70;heaters;39;5233;63266;
m70c12phh40;12;70;heaters;40;5224;62693;
m70c12phh41;12;70;heaters;41;5354;65050;
m70c12phh42;12;70;heaters;42;5521;66673;
m70c12phh43;12;70;heaters;43;5658;68296;
m70c12phh44;12;70;heaters;44;5813;69404;
m70c12phh45;12;70;heaters;45;5989;70556;
m70c12phh46;12;70;heaters;46;5962;70658;
m70c12phh47;12;70;heaters;47;6155;71249;
m70c12phh48;12;70;heaters;48;6238;70412;
m70c12phh49;12;70;heaters;49;6368;71872;
m70c12phh50;12;70;heaters;50;6416;72602;
m70c12pha1;12;70;acs;1;1959;10544;
m70c12pha2;12;70;acs;2;2208;11976;
m70c12pha3;12;70;acs;3;2380;13709;
m70c12pha4;12;70;acs;4;2700;14788;
m70c12pha5;12;70;acs;5;2845;15561;
m70c12pha6;12;70;acs;6;2762;16275;
m70c12pha7;12;70;acs;7;3141;17173;
m70c12pha8;12;70;acs;8;3314;17504;
m70c12pha9;12;70;acs;9;3329;17717;
m70c12pha10;12;70;acs;10;3460;18400;
m70c12pha11;12;70;acs;11;3589;19396;
m70c12pha12;12;70;acs;12;3988;19967;
m70c12pha13;12;70;acs;13;3928;21353;
m70c12pha14;12;70;acs;14;4195;22259;
m70c12pha15;12;70;acs;15;4477;22445;
m70c12pha16;12;70;acs;16;4749;23227;
m70c12pha17;12;70;acs;17;4727;23497;
m70c12phw1;12;70;windows;1;1781;9640;
m70c12phw2;12;70;windows;2;1935;10159;
m70c12phw3;12;70;windows;3;2065;10955;
m70c12phw4;12;70;windows;4;2117;11180;
m70c12phw5;12;70;windows;5;2259;11593;
m70c12phw6;12;70;windows;6;2531;12003;
m70c12phw7;12;70;windows;7;2683;12282;
m70c12phw8;12;70;windows;8;2675;12333;
m70c12phw9;12;70;windows;9;2723;12368;
m70c12phd1;12;70;doors;1;1912;9410;
m70c12phd2;12;70;doors;2;1968;10175;
m70c12phd3;12;70;doors;3;2035;10589;
m70c12phd4;12;70;doors;4;2248;11070;
m70c12phd5;12;70;doors;5;2199;11369;
m70c12phd6;12;70;doors;6;2440;11737;
m70c12phd7;12;70;doors;7;2871;11985;
m70c12phd8;12;70;doors;8;2759;12335;
m70c12phd9;12;70;doors;9;2888;12252;
m70c12phh1;12;70;heaters;1;1395;9421;
m70c12phh2;12;70;heaters;2;1473;12673;
m70c12phh3;12;70;heaters;3;1611;14310;
m70c12phh4;12;70;heaters;4;1654;15266;
m70c12phh5;12;70;heaters;5;1779;17421;
m70c12phh6;12;70;heaters;6;1788;18001;
m70c12phh7;12;70;heaters;7;1790;18545;
m70c12phh8;12;70;heaters;8;1958;19666;
m70c12phh9;12;70;heaters;9;2323;22740;
m70c12phh10;12;70;heaters;10;2224;23649;
m70c12phh11;12;70;heaters;11;2272;24836;
m70c12phh12;12;70;heaters;12;2301;26666;
m70c12phh13;12;70;heaters;13;2522;27758;
m70c12phh14;12;70;heaters;14;2566;27798;
m70c12phh15;12;70;heaters;15;2636;30228;
m70c12phh16;12;70;heaters;16;2804;31432;
m70c12phh17;12;70;heaters;17;2783;32327;
m70c12phh18;12;70;heaters;18;2853;35126;
m70c12phh19;12;70;heaters;19;2835;35999;
m70c12phh20;12;70;heaters;20;3142;37971;
m70c12phh21;12;70;heaters;21;3390;40202;
m70c12phh22;12;70;heaters;22;3178;39289;
m70c12phh23;12;70;heaters;23;3398;39989;
m70c12phh24;12;70;heaters;24;3536;42446;
m70c12phh25;12;70;heaters;25;3343;42736;
m70c12phh26;12;70;heaters;26;3778;44718;
m70c12phh27;12;70;heaters;27;3788;45792;
m70c12phh28;12;70;heaters;28;3810;46940;
m70c12phh29;12;70;heaters;29;4037;50126;
m70c12phh30;12;70;heaters;30;3939;51367;
m70c12phh31;12;70;heaters;31;4126;51511;
m70c12phh32;12;70;heaters;32;4394;54726;
m70c12phh33;12;70;heaters;33;4524;54206;
m70c12phh34;12;70;heaters;34;4697;55258;
m70c12phh35;12;70;heaters;35;4631;58169;
m70c12phh36;12;70;heaters;36;4597;59220;
m70c12phh37;12;70;heaters;37;4965;59894;
m70c12phh38;12;70;heaters;38;4783;62684;
m70c12phh39;12;70;heaters;39;5115;64028;
m70c12phh40;12;70;heaters;40;5085;64959;
m70c12phh41;12;70;heaters;41;5423;65273;
m70c12phh42;12;70;heaters;42;5303;66628;
m70c12phh43;12;70;heaters;43;5608;69419;
m70c12phh44;12;70;heaters;44;5959;69156;
m70c12phh45;12;70;heaters;45;5865;71574;
m70c12phh46;12;70;heaters;46;5816;69734;
m70c12phh47;12;70;heaters;47;6032;70416;
m70c12phh48;12;70;heaters;48;6068;71759;
m70c12phh49;12;70;heaters;49;6172;71265;
m70c12phh50;12;70;heaters;50;6347;72861;
m70c12pha1;12;70;acs;1;1821;10418;
m70c12pha2;12;70;acs;2;1945;11499;
m70c12pha3;12;70;acs;3;2146;13415;
m70c12pha4;12;70;acs;4;2418;14636;
m70c12pha5;12;70;acs;5;2657;15158;
m70c12pha6;12;70;acs;6;2582;16017;
m70c12pha7;12;70;acs;7;2727;17043;
m70c12pha8;12;70;acs;8;2923;17277;
m70c12pha9;12;70;acs;9;3086;17747;
m70c12pha10;12;70;acs;10;3309;18395;
m70c12pha11;12;70;acs;11;3449;19166;
m70c12pha12;12;70;acs;12;3539;20192;
m70c12pha13;12;70;acs;13;3836;20912;
m70c12pha14;12;70;acs;14;3920;22216;
m70c12pha15;12;70;acs;15;4218;22590;
m70c12pha16;12;70;acs;16;4289;23045;
m70c12pha17;12;70;acs;17;4562;23315;
m70c12phw1;12;70;windows;1;1666;9495;
m70c12phw2;12;70;windows;2;1723;9674;
m70c12phw3;12;70;windows;3;1809;10513;
m70c12phw4;12;70;windows;4;1908;10944;
m70c12phw5;12;70;windows;5;2025;11310;
m70c12phw6;12;70;windows;6;2194;11441;
m70c12phw7;12;70;windows;7;2232;11877;
m70c12phw8;12;70;windows;8;2630;11994;
m70c12phw9;12;70;windows;9;2534;12199;
m70c12phd1;12;70;doors;1;1665;9203;
m70c12phd2;12;70;doors;2;1766;10099;
m70c12phd3;12;70;doors;3;1923;9899;
m70c12phd4;12;70;doors;4;1873;10542;
m70c12phd5;12;70;doors;5;2180;10904;
m70c12phd6;12;70;doors;6;2154;11381;
m70c12phd7;12;70;doors;7;2255;11625;
m70c12phd8;12;70;doors;8;2374;11726;
m70c12phd9;12;70;doors;9;2507;11897;
m70c12phh1;12;70;heaters;1;1586;9026;
m70c12phh2;12;70;heaters;2;1684;12271;
m70c12phh3;12;70;heaters;3;1777;13997;
m70c12phh4;12;70;heaters;4;1903;15634;
m70c12phh5;12;70;heaters;5;1877;16959;
m70c12phh6;12;70;heaters;6;2015;17464;
m70c12phh7;12;70;heaters;7;2038;19017;
m70c12phh8;12;70;heaters;8;2015;19896;
m70c12phh9;12;70;heaters;9;2252;23019;
m70c12phh10;12;70;heaters;10;2290;24114;
m70c12phh11;12;70;heaters;11;2259;25036;
m70c12phh12;12;70;heaters;12;2550;27228;
m70c12phh13;12;70;heaters;13;2507;27968;
m70c12phh14;12;70;heaters;14;2581;28677;
m70c12phh15;12;70;heaters;15;2719;30511;
m70c12phh16;12;70;heaters;16;2726;32301;
m70c12phh17;12;70;heaters;17;2826;33209;
m70c12phh18;12;70;heaters;18;2981;35093;
m70c12phh19;12;70;heaters;19;2996;37187;
m70c12phh20;12;70;heaters;20;3174;37597;
m70c12phh21;12;70;heaters;21;3239;38934;
m70c12phh22;12;70;heaters;22;3274;39868;
m70c12phh23;12;70;heaters;23;3419;41730;
m70c12phh24;12;70;heaters;24;3440;43824;
m70c12phh25;12;70;heaters;25;3574;44076;
m70c12phh26;12;70;heaters;26;3639;46284;
m70c12phh27;12;70;heaters;27;3857;46715;
m70c12phh28;12;70;heaters;28;3884;49267;
m70c12phh29;12;70;heaters;29;4051;49123;
m70c12phh30;12;70;heaters;30;4008;51915;
m70c12phh31;12;70;heaters;31;4149;51142;
m70c12phh32;12;70;heaters;32;4144;54826;
m70c12phh33;12;70;heaters;33;4597;55513;
m70c12phh34;12;70;heaters;34;4394;57159;
m70c12phh35;12;70;heaters;35;4553;56668;
m70c12phh36;12;70;heaters;36;4714;59152;
m70c12phh37;12;70;heaters;37;4833;60248;
m70c12phh38;12;70;heaters;38;4798;63505;
m70c12phh39;12;70;heaters;39;4965;64400;
m70c12phh40;12;70;heaters;40;5060;64536;
m70c12phh41;12;70;heaters;41;5241;68045;
m70c12phh42;12;70;heaters;42;5303;65757;
m70c12phh43;12;70;heaters;43;5506;69737;
m70c12phh44;12;70;heaters;44;5585;69834;
m70c12phh45;12;70;heaters;45;5676;70701;
m70c12phh46;12;70;heaters;46;5737;70474;
m70c12phh47;12;70;heaters;47;6160;72656;
m70c12phh48;12;70;heaters;48;5835;72099;
m70c12phh49;12;70;heaters;49;6304;70997;
m70c12phh50;12;70;heaters;50;6347;73612;
m70c12pha1;12;70;acs;1;1920;10259;
m70c12pha2;12;70;acs;2;2168;12054;
m70c12pha3;12;70;acs;3;2338;13681;
m70c12pha4;12;70;acs;4;2349;15104;
m70c12pha5;12;70;acs;5;2513;15324;
m70c12pha6;12;70;acs;6;2808;15874;
m70c12pha7;12;70;acs;7;2757;16897;
m70c12pha8;12;70;acs;8;3115;17364;
m70c12pha9;12;70;acs;9;3225;17668;
m70c12pha10;12;70;acs;10;3323;18267;
m70c12pha11;12;70;acs;11;3720;19118;
m70c12pha12;12;70;acs;12;3658;20079;
m70c12pha13;12;70;acs;13;3886;21334;
m70c12pha14;12;70;acs;14;3943;22232;
m70c12pha15;12;70;acs;15;4253;22327;
m70c12pha16;12;70;acs;16;4357;22895;
m70c12pha17;12;70;acs;17;4643;23328;
m70c12phw1;12;70;windows;1;1779;9153;
m70c12phw2;12;70;windows;2;1856;10084;
m70c12phw3;12;70;windows;3;1925;10597;
m70c12phw4;12;70;windows;4;2088;11061;
m70c12phw5;12;70;windows;5;2274;11407;
m70c12phw6;12;70;windows;6;2209;11711;
m70c12phw7;12;70;windows;7;2494;11878;
m70c12phw8;12;70;windows;8;2463;12196;
m70c12phw9;12;70;windows;9;2570;11931;
m70c12phd1;12;70;doors;1;1727;9422;
m70c12phd2;12;70;doors;2;1800;9947;
m70c12phd3;12;70;doors;3;1887;10313;
m70c12phd4;12;70;doors;4;1955;10762;
m70c12phd5;12;70;doors;5;2225;11120;
m70c12phd6;12;70;doors;6;2249;11370;
m70c12phd7;12;70;doors;7;2470;11818;
m70c12phd8;12;70;doors;8;2492;12009;
m70c12phd9;12;70;doors;9;2587;12353;
